,Linear Regression,Lasso Regression,RandomForest Regressor
MSLE,0.002413278198507788,0.0024132873468320124,0.0006179525353765123
Root MSLE,0.04912512797446728,0.049125221086851224,0.02485865111739799
R2 Score,0.6242261311131287,0.6242282512864907,0.9107053082200338
Accuracy(%),62.4226,62.4228,91.0705
